step,epoch,scene,view,roi_scope,pan_reference,d_lambda,d_s,hqnr,fscc,dy_hr,dx_hr,delta_norm_hr,selection_eligible,invalid_reason,roi_hash
1010,5,2,aligned_valid,selection_fixed_V,P_aligned,0.048915932236119564,0.09563944770523088,0.8601229128016985,0.9797530068269544,0.2471342533826828,-0.2988806664943695,0.3878208100795746,True,,b5979ef01aa92480
1010,5,2,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.048915932236119564,0.08107950267742176,0.8739706445451657,0.9695542684271976,0.3913658559322357,-0.20791958272457123,0.44316789828453423,True,,b5979ef01aa92480
1010,5,3,raw_original,original,P,0.05440219466766738,0.07676151542429968,0.8730122848131309,0.9529346941307613,0.23508240282535553,-0.27021121978759766,0.3581589460372925,True,,b5979ef01aa92480
1010,5,3,raw_valid,selection_fixed_V,P,0.0461625458734668,0.08553152399360786,0.8722542830329078,0.953193982344631,0.23508240282535553,-0.27021121978759766,0.3581589460372925,True,,b5979ef01aa92480
1010,5,3,aligned_valid,selection_fixed_V,P_aligned,0.0461625458734668,0.0859301631108105,0.87187404611224,0.9718681659315263,0.23508240282535553,-0.27021121978759766,0.3581589460372925,True,,b5979ef01aa92480
1010,5,3,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.0461625458734668,0.07636994622081023,0.8809929390514952,0.9680744466238492,0.3741772472858429,-0.20211131870746613,0.4252735561213297,True,,b5979ef01aa92480
1010,5,4,raw_original,original,P,0.037811958387867106,0.06127717963454493,0.9032278721440552,0.957926568274732,0.23437219858169556,-0.2774525582790375,0.3631944954395294,True,,b5979ef01aa92480
1010,5,4,raw_valid,selection_fixed_V,P,0.035570889414925366,0.0637717980251081,0.9029257321353086,0.9552245332710034,0.23437219858169556,-0.2774525582790375,0.3631944954395294,True,,b5979ef01aa92480
1010,5,4,aligned_valid,selection_fixed_V,P_aligned,0.035570889414925366,0.0630508531266973,0.9036210323824637,0.9724449164822637,0.23437219858169556,-0.2774525582790375,0.3631944954395294,True,,b5979ef01aa92480
1010,5,4,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.035570889414925366,0.052566930845763644,0.9137320322233077,0.967027760210247,0.3974161148071289,-0.21114897727966309,0.4500260647058576,True,,b5979ef01aa92480
1010,5,5,raw_original,original,P,0.03938584683680757,0.06200339202402601,0.9010528172407872,0.9547333353642073,0.21575646102428436,-0.2779768407344818,0.3518834710121155,True,,b5979ef01aa92480
1010,5,5,raw_valid,selection_fixed_V,P,0.03453003062411908,0.06085072502182575,0.9067204217525586,0.9539473228498035,0.21575646102428436,-0.2779768407344818,0.3518834710121155,True,,b5979ef01aa92480
1010,5,5,aligned_valid,selection_fixed_V,P_aligned,0.03453003062411908,0.06003081431555334,0.9075120209170344,0.9733607463749752,0.21575646102428436,-0.2779768407344818,0.3518834710121155,True,,b5979ef01aa92480
1010,5,5,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.03453003062411908,0.053524691359484476,0.913793487248186,0.9705674154273011,0.3786911070346832,-0.20337136089801788,0.42984516396100786,True,,b5979ef01aa92480
1010,5,6,raw_original,original,P,0.026727408959252075,0.03472167712027083,0.9394789343846216,0.9605041864509278,0.21983171999454498,-0.2810681164264679,0.35682666301727295,True,,b5979ef01aa92480
1010,5,6,raw_valid,selection_fixed_V,P,0.019515315136700462,0.03362605660882875,0.9475148513459966,0.959769751162664,0.21983171999454498,-0.2810681164264679,0.35682666301727295,True,,b5979ef01aa92480
1010,5,6,aligned_valid,selection_fixed_V,P_aligned,0.019515315136700462,0.03337391003520725,0.9477620771997732,0.9811143688770427,0.21983171999454498,-0.2810681164264679,0.35682666301727295,True,,b5979ef01aa92480
1010,5,6,aligned_fixed_v64,selection_fixed_V,P_aligned_fixed_donor,0.019515315136700462,0.02971864666309046,0.9513460069552756,0.9778670386332773,0.4006921350955963,-0.21203596889972687,0.45333590110944616,True,,b5979ef01aa92480
1010,5,7,raw_original,original,P,0.03441845145408984,0.042081464735509416,0.9249484626615169,0.9606400970523276,0.1917797327041626,-0.2571747601032257,0.32080885767936707,True,,b5979ef01aa92480
