sheet,row,run,role,case,profile,teacher_seed,student_seed,teacher_updates,horizon,selection,step,HQNR,ERGAS,D_lambda,D_s,signed_Ds_positive_fraction,checkpoint_sha256
GF2-s4,16,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S09,H010,94002,95002,100000,100000,MID50_OF100,50000,0.9410527886667698,0.5589208443042293,0.021264926731622752,0.03845470899436425,1,33e37b730200cd04b12727185a794e225f5a2e1b233c496c2fe6e69c709b9c62
GF2-s4,16,L100I1_GF2_S_S4_R100_TS94002_SS95002_H010_PLH_W104_D122_FRESH100K_v2,S,L100I1-S09,H010,94002,95002,100000,100000,E_MIN_DIAG,92920,0.9466390739624584,0.5461137217902682,0.02003482714118248,0.03397822912581918,1,6f855040d35c4e9fc0d99300accc85c3b52600ff5ada47c8e762329c6df846f9
GF2-s4,17,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S10,BASE,94002,95002,100000,100000,EXACT_FINAL,100000,0.9542735299826475,0.5482437942655717,0.020167904397021836,0.02606222791758909,0.9875,7b3a739cb537799dd30fecf96a7a59215cc3c0b516f1a726d3cc7eff1869ba73
GF2-s4,17,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S10,BASE,94002,95002,100000,100000,RR_VAL_SELECTED,98980,0.954280619337562,0.5482143061687933,0.02016470571022567,0.026058128211396903,0.9875,2324fc9b76e873fcdc24fd145600a3b6ab48c18dcdfda1650a52bc253243b1ed
GF2-s4,17,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S10,BASE,94002,95002,100000,100000,RAW_MAX,92920,0.9545870099819875,0.5490406149374135,0.02013050122137024,0.02577867462916591,0.9875,0e1407b2dcc3755ed901149b34c4305e46d60de79081f902288995f885512652
GF2-s4,17,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S10,BASE,94002,95002,100000,100000,MID50_OF100,50000,0.9489359991237233,0.562175127358191,0.021033862218871425,0.030647993376826638,1,63348c7b295657d47b2d3a194a30e1fca0a52e21c5f6ec2a4daa18952ddc1270
GF2-s4,17,L100I1_GF2_S_S4_R100_TS94002_SS95002_BASE_PLH_W104_D122_FRESH100K_v2,S,L100I1-S10,BASE,94002,95002,100000,100000,E_MIN_DIAG,68680,0.9532011703417116,0.5454315260232978,0.020275426086227632,0.027046986610684953,0.9875,5ef106492d231ccb04533e6a04b3bacebd3293c9f3b2a36d32c49caa15dd98e1
GF2-s4,18,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T03,C100,94002,,100000,100000,EXACT_FINAL,100000,0.937016996635484,0.5589368442495541,0.027098933816653244,0.03687208954086476,1,25ae6b1f0c6a4ea2efd69b5ff83fd7adddc423d8e5bcfb4c2768a9778ff8b232
GF2-s4,18,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T03,C100,94002,,100000,100000,RR_VAL_SELECTED,100000,0.937016996635484,0.5589368442495541,0.027098933816653244,0.03687208954086476,1,25ae6b1f0c6a4ea2efd69b5ff83fd7adddc423d8e5bcfb4c2768a9778ff8b232
GF2-s4,18,L100I1_GF2_T_S4_TS94002_C100_P0_W112_D123_FRESH100K_v2,T,L100I1-T03,C100,94002,,100000,100000,RAW_MAX,34340,0.9376995168666042,0.8124347435556508,0.025190992994788282,0.03805712556727052,0.9875,409e1474ffbacd518dac3f9428e4f5945332230fb3be2a9cdf2b688afd6ac90a
